step,reward
1000,-1679.6063593897684
2000,-1544.1781926947779
3000,-1428.3999487568403
4000,-1365.6589872004288
5000,-1301.6747332614248
6000,-1284.3643124090647
7000,-1267.0695536615851
8000,-1200.0473144542898
9000,-1166.988084581344
10000,-1153.4071338330693
11000,-1156.5384171437863
12000,-1115.4883128591102
13000,-1089.8303029369015
14000,-1041.7969550817957
15000,-1064.2733098690471
16000,-1034.9825341319288
17000,-1039.6884249516584
18000,-1005.257250764891
19000,-977.5256215559742
20000,-1001.4825979914933
21000,-999.411020908932
22000,-955.7776113328667
23000,-935.1519675587173
24000,-901.2728245149563
25000,-883.4134623338806
26000,-876.2124622457843
27000,-873.0924096803209
28000,-864.9171539922658
29000,-834.5749203966609
30000,-801.4368183977007
31000,-791.7239441914165
32000,-774.7349370871475
33000,-785.6707931282787
34000,-748.2525584505074
35000,-737.9810163761333
36000,-730.2931845596117
37000,-715.4766682594494
38000,-735.9311117316252
39000,-686.5660831627437
40000,-684.3871171384276
41000,-675.3442086254041
42000,-669.8905319035592
43000,-663.1860423692733
44000,-641.0834533609872
45000,-621.4321716428904
46000,-622.6983230179491
47000,-616.9625753590482
48000,-600.5658353973572
49000,-581.1575776793812
50000,-571.4471658547623
51000,-566.046342928523
52000,-563.0715139328611
53000,-574.5795241615313
54000,-533.4271208997137
55000,-553.0906845985421
56000,-555.194970978
57000,-538.6375059402023
58000,-529.4229654880689
59000,-536.5011949187726
60000,-524.9064049016375
61000,-500.93183681975773
62000,-489.4807520382772
63000,-483.8781348719609
64000,-483.6862292597214
65000,-471.3627884931966
66000,-491.93760289356885
67000,-480.21496176052983
68000,-471.21172470025886
69000,-460.7755804632334
70000,-450.1969291437243
71000,-452.9861106711374
72000,-442.98673194089514
73000,-426.7349660515626
74000,-410.14840203497306
75000,-404.8464396710097
76000,-400.65423326537905
77000,-390.45672540692345
78000,-404.69243251046464
79000,-381.35930229677047
80000,-380.28069678404455
81000,-384.5823679108099
82000,-374.93474513050296
83000,-365.38532645167373
84000,-365.88131294864047
85000,-375.5989731322791
86000,-366.4659669365729
87000,-348.2934213241484
88000,-356.4183655007216
89000,-332.4978403852466
90000,-341.33647010404263
91000,-348.63507630365547
92000,-328.856837053938
93000,-320.1988189314874
94000,-317.9326682064056
95000,-312.82918927397435
96000,-309.39639305951795
97000,-296.82496165836443
98000,-290.6407311000865
99000,-275.54858700479764
100000,-270.7521469563928
101000,-266.3257582517857
102000,-263.23540806415923
103000,-263.4250448326331
104000,-252.85735842686927
105000,-244.11287875325988
106000,-243.70011764158974
107000,-239.64991808708277
108000,-235.13153482979686
109000,-239.59759484129825
110000,-232.6087603755111
111000,-231.75953131172918
112000,-232.1817140940409
113000,-228.01068982032567
114000,-224.7687446169126
115000,-224.8250430562489
116000,-223.48765638575338
117000,-219.40471402582747
118000,-216.36313712963124
119000,-210.35577568914755
120000,-204.40083038149083
121000,-196.59081537945443
122000,-198.10604960038904
123000,-201.6835959048045
124000,-209.61792415380438
125000,-226.42425860985972
126000,-211.3044247385201
127000,-207.25229804525762
128000,-204.11764400371047
129000,-200.45867148490078
130000,-189.77568887166572
131000,-194.29178462201608
132000,-186.73039461432728
133000,-183.85402835138294
134000,-187.62443647035303
135000,-185.58549057113882
136000,-184.3904631873301
137000,-179.30902329466934
138000,-178.55228251169356
139000,-170.1384399618525
140000,-175.6975128559357
141000,-176.01628357452867
142000,-174.93157196800192
143000,-169.39031268760408
144000,-164.7449179215138
145000,-164.88830006614168
146000,-160.01327074452635
147000,-164.71651291450985
148000,-155.4105363192966
149000,-159.7152835869281
150000,-152.27841487897976
151000,-152.27357947271432
152000,-156.90529340782086
153000,-153.31880049501586
154000,-150.65943540607873
155000,-143.9309363524831
156000,-145.9813706713721
157000,-143.27047165239182
158000,-140.05757482103246
159000,-150.99069237448325
160000,-156.5925563160144
