step,reward
1000,-1521.0
2000,-1457.0
3000,-1249.0
4000,-1526.0
5000,-1539.0
6000,-1500.0
7000,-1489.0
8000,-1565.0
9000,-1422.0
10000,-1373.0
11000,-1300.0
12000,-1375.0
13000,-1427.0
14000,-1374.0
15000,-1316.0
16000,-1275.0
17000,-1389.0
18000,-1428.0
19000,-1418.0
20000,-1327.0
21000,-1292.0
22000,-1279.0
23000,-1245.0
24000,-1349.0
25000,-1310.0
26000,-1181.0
27000,-1213.0
28000,-1190.0
29000,-1255.0
30000,-1251.0
31000,-1289.0
32000,-1234.0
33000,-1062.0
34000,-1160.0
35000,-1264.0
36000,-1158.0
37000,-1324.0
38000,-1147.0
39000,-1233.0
40000,-1019.0
41000,-1210.0
42000,-1227.0
43000,-1215.0
44000,-1133.0
45000,-1235.0
46000,-1101.0
47000,-1163.0
48000,-1213.0
49000,-1140.0
50000,-1148.0
51000,-1122.0
52000,-1189.0
53000,-1093.0
54000,-1131.0
55000,-1070.0
56000,-1237.0
57000,-1027.0
58000,-1069.0
59000,-1001.0
60000,-1146.0
61000,-1075.0
62000,-1148.0
63000,-1087.0
64000,-1178.0
65000,-1118.0
66000,-1233.0
67000,-1092.0
68000,-1057.0
69000,-1055.0
70000,-1041.0
71000,-1023.0
72000,-1089.0
73000,-988.0
74000,-1049.0
75000,-1037.0
76000,-1122.0
77000,-1061.0
78000,-1135.0
79000,-1040.0
80000,-1033.0
81000,-1110.0
82000,-1034.0
83000,-1112.0
84000,-1024.0
85000,-1144.0
86000,-1159.0
87000,-1022.0
88000,-1011.0
89000,-972.0
90000,-967.0
91000,-1018.0
92000,-1069.0
93000,-1097.0
94000,-1101.0
95000,-1047.0
96000,-1037.0
97000,-1074.0
98000,-1011.0
99000,-965.0
100000,-1169.0
101000,-1085.0
102000,-1046.0
103000,-1031.0
104000,-1011.0
105000,-1059.0
106000,-1050.0
107000,-1055.0
108000,-992.0
109000,-966.0
110000,-995.0
111000,-988.0
112000,-1029.0
113000,-1064.0
114000,-984.0
115000,-1103.0
116000,-1106.0
117000,-1024.0
118000,-1046.0
119000,-1022.0
120000,-1009.0
121000,-976.0
122000,-1080.0
123000,-1062.0
124000,-1048.0
125000,-1045.0
126000,-985.0
127000,-949.0
128000,-1081.0
129000,-1060.0
130000,-1009.0
131000,-1012.0
132000,-1036.0
133000,-1062.0
134000,-1096.0
135000,-1014.0
136000,-913.0
137000,-906.0
138000,-1020.0
139000,-1009.0
140000,-920.0
141000,-1058.0
142000,-976.0
143000,-995.0
144000,-1002.0
145000,-1016.0
146000,-1055.0
147000,-902.0
148000,-938.0
149000,-1014.0
150000,-967.0
151000,-929.0
152000,-908.0
153000,-1020.0
154000,-994.0
155000,-907.0
156000,-966.0
157000,-1046.0
158000,-914.0
159000,-1088.0
160000,-1021.0
161000,-890.0
162000,-981.0
163000,-867.0
164000,-931.0
165000,-884.0
166000,-955.0
167000,-907.0
168000,-1072.0
169000,-883.0
170000,-950.0
171000,-929.0
172000,-889.0
173000,-890.0
174000,-866.0
175000,-902.0
176000,-1066.0
177000,-1009.0
178000,-955.0
179000,-974.0
180000,-948.0
181000,-968.0
182000,-937.0
