step,reward
1000,-1113.807778748852
2000,-1020.3445468916065
3000,-1096.5933365232968
4000,-864.0125360705327
5000,-1014.5071593634582
6000,-1074.419552615928
7000,-923.4230916046939
8000,-1071.8045038405487
9000,-945.9867827315784
10000,-938.4214033572306
11000,-854.2326863287462
12000,-837.9652074052551
13000,-964.3702340778609
14000,-939.3440074361412
15000,-776.1996135250555
16000,-871.6557951969309
17000,-963.265032164327
18000,-790.1591596586989
19000,-933.436083797064
20000,-940.1909843301339
21000,-865.0333471027967
22000,-825.1948406105626
23000,-809.5586346092775
24000,-924.5957377940422
25000,-759.6715851468084
26000,-859.9793467133736
27000,-798.0350804513648
28000,-786.4906494074761
29000,-806.6372023652016
30000,-712.8716420255344
31000,-759.4429621087268
32000,-719.9617682969955
33000,-723.1851494318137
34000,-734.5475564493129
35000,-764.0777229676044
36000,-764.328942048428
37000,-809.7961238544563
38000,-769.3104108079137
39000,-724.0897582004989
40000,-651.0578917870865
41000,-669.3294743680333
42000,-642.6716289195011
43000,-788.1999280988097
44000,-831.9462852245772
45000,-701.8402944614813
46000,-649.5296411714752
47000,-692.4232793813212
48000,-661.6437878455376
49000,-657.5162949975208
50000,-717.8773717464336
51000,-646.731463131471
52000,-748.4305849310043
53000,-709.4481055563788
54000,-707.1998919593856
55000,-665.7895231491333
56000,-647.3453687903568
57000,-653.8237257753468
58000,-710.2955618107417
59000,-648.7643291290419
60000,-589.5537214501788
61000,-596.0685495946051
62000,-729.5795278675125
63000,-663.659713395411
64000,-629.0513260729864
65000,-626.576190870426
66000,-633.9800018662872
67000,-643.2353153596833
68000,-596.4326215505175
69000,-718.2404760396822
70000,-585.3914381416656
71000,-615.0136475547387
72000,-713.1771873333043
73000,-570.5328948650824
74000,-609.139625176004
75000,-543.9670033034447
76000,-641.1785322794365
77000,-578.8610824959026
78000,-676.0878846567914
79000,-637.2355035822513
80000,-592.6131585400882
81000,-709.4784329996473
82000,-540.65404887552
83000,-615.208824935253
84000,-754.8359326847192
85000,-601.614400709199
86000,-594.7499362297316
87000,-672.9372853854021
88000,-625.9670856323453
89000,-586.8557822319893
90000,-402.4624488025264
91000,-544.9696677044092
92000,-594.1481755588771
93000,-674.3327451391132
94000,-561.1151386355024
95000,-659.0514524469295
96000,-572.8750189694169
97000,-534.2680251557297
98000,-542.8594641161509
99000,-606.4977157669518
100000,-579.9458064321808
101000,-548.8173748364185
102000,-581.173118814738
103000,-519.7455732984706
104000,-569.8892637527231
105000,-551.5051683769303
106000,-480.97936464201234
107000,-583.4431280629415
108000,-534.8813016587015
109000,-501.05826154476995
110000,-550.0553805202555
111000,-547.7884352938202
112000,-623.0599064344249
113000,-427.69131505760396
114000,-567.1823491101021
115000,-525.0521225632024
116000,-633.6343756045582
117000,-498.4299881294692
118000,-567.3669944040438
119000,-516.9355776309324
120000,-491.6681847626803
121000,-499.37197930752137
122000,-587.4977892231012
123000,-576.8417850913622
124000,-501.2028332849108
125000,-452.1880348094577
126000,-502.7725551600655
127000,-496.5454602233357
128000,-504.05248983560534
129000,-491.64278191681814
130000,-434.48574807883773
131000,-497.93531074956337
132000,-683.661841817041
133000,-429.2387743413166
134000,-519.613385317662
135000,-515.0430818819881
136000,-511.6522967011882
137000,-499.59107728300074
138000,-486.77822674142817
139000,-507.4654326901712
140000,-583.8127979201415
141000,-528.23117121691
142000,-433.38006977159586
143000,-597.0344437000489
144000,-447.3685755908843
145000,-469.84283584047813
146000,-476.5015143091192
147000,-517.4376688126066
148000,-510.1498529496533
149000,-470.98809975936695
150000,-480.5069466452833
151000,-552.9194437099911
