step,reward
1000,-1425.2163647263587
2000,-1355.621210228991
3000,-1271.0540649961165
4000,-1257.528957625861
5000,-1217.1438955891235
6000,-1215.3343981915311
7000,-1209.8738374151847
8000,-1160.087589096646
9000,-1197.502632325326
10000,-1205.8287968809657
11000,-1179.6359869811442
12000,-1168.0161196533122
13000,-1135.110267682827
14000,-1138.6123754285256
15000,-1105.030139138295
16000,-1100.6105204076505
17000,-1115.7545406906247
18000,-1114.9604067564674
19000,-1051.91282258229
20000,-1074.550264298278
21000,-1071.9879561762646
22000,-1089.5924864612336
23000,-999.7557176386935
24000,-1030.7292671307002
25000,-1015.834499113347
26000,-1000.8631990544008
27000,-1012.4448095938466
28000,-1005.4573624825828
29000,-1012.6176115497001
30000,-1008.1015065745933
31000,-1006.7822645390856
32000,-976.5297084117803
33000,-966.2674080856593
34000,-982.9040321605294
35000,-962.8339188534945
36000,-956.9425414548174
37000,-965.6778227649528
38000,-952.5071162398284
39000,-940.0598034970368
40000,-938.2405825044581
41000,-943.2511376261702
42000,-926.6775304036408
43000,-925.9323868104495
44000,-920.4675864253159
45000,-938.7328643010578
46000,-936.9748227622185
47000,-920.0657038603877
48000,-930.6056262098335
49000,-906.0135668501558
50000,-914.6155864822315
51000,-889.2733297627045
52000,-873.0654385312529
53000,-888.3649267739256
54000,-880.7056467284557
55000,-875.7775006275842
56000,-895.5423496449436
57000,-871.358591862577
58000,-854.5979136683757
59000,-835.2051629222522
60000,-859.9740386268637
61000,-838.3843460907688
62000,-835.4499937268798
63000,-802.4871472185579
64000,-821.7741449096967
65000,-828.7083443187198
66000,-815.307635069468
67000,-827.8428532500799
68000,-794.7180822862806
69000,-795.2689087938746
70000,-801.8205914657601
71000,-785.1615003760423
72000,-792.5774774219943
73000,-786.9714217025792
74000,-762.3709944034322
75000,-780.4817692495609
76000,-767.9623941109589
77000,-789.9571865070536
78000,-753.5739763524535
79000,-733.5147026165001
80000,-746.000856300995
81000,-744.4640345994826
82000,-720.684000219113
83000,-735.8505731674691
84000,-733.0703390639179
85000,-749.5868086105686
86000,-726.1632948826507
87000,-719.9018152213696
88000,-691.5683379528163
89000,-713.9682329022526
90000,-718.5840023210246
91000,-694.741872106592
92000,-704.7034829849467
93000,-715.5072159981265
94000,-689.8483926976837
95000,-681.2036267455361
96000,-652.3804348816916
97000,-666.0474872880237
98000,-690.1531415302411
99000,-655.565508396287
100000,-667.160345368039
101000,-671.5851946702148
102000,-654.1720635568829
103000,-652.4011049808176
104000,-645.8947384041919
105000,-659.0932661716129
106000,-656.8787558545623
107000,-635.1785988210079
108000,-628.0115783520093
109000,-630.2961026090309
110000,-631.4819029287996
111000,-623.8026137649819
112000,-633.8968456423622
113000,-618.3988858094843
114000,-639.9832998734737
115000,-640.1711925832526
116000,-624.4607972830074
117000,-618.6965717166255
118000,-617.8555835890462
119000,-611.7282548642506
120000,-607.8287217525125
121000,-593.0643402514634
122000,-599.2394176097046
123000,-595.5612409341338
124000,-606.9475006085638
