step,reward
1000,-1113.807778748852
2000,-1044.20307010892
3000,-1020.3423326935222
4000,-1147.7719125300193
5000,-986.599572098224
6000,-979.3516359797618
7000,-910.6209242119255
8000,-1017.0228253817195
9000,-976.9998498969999
10000,-1017.157544850627
11000,-934.671126516276
12000,-896.3868590198992
13000,-996.9751194134653
14000,-928.7088004838984
15000,-978.9844856197273
16000,-962.1077331280918
17000,-790.0297284601635
18000,-902.1292918113957
19000,-960.7412588142226
20000,-778.089711067508
21000,-897.8644088739607
22000,-842.8922338895161
23000,-1008.5827975713612
24000,-837.8730541197103
25000,-811.2406871928589
26000,-815.4285440104608
27000,-757.386691613026
28000,-810.0363857676274
29000,-851.3317029386951
30000,-795.2986141139985
31000,-811.9646364890208
32000,-803.3103760797039
33000,-778.917732223384
34000,-788.3936422177163
35000,-768.9109590999375
36000,-849.6821501835165
37000,-710.9461872142668
38000,-838.9019195534142
39000,-935.4731630451726
40000,-833.8436872821285
41000,-777.2167757045436
42000,-679.5403364197613
43000,-819.295711173212
44000,-835.8442505421876
45000,-676.2725849081826
46000,-759.9446834578237
47000,-694.1888144843708
48000,-776.3755709056445
49000,-677.3802679499145
50000,-736.9787718840822
51000,-602.1230051486151
52000,-738.7089528064818
53000,-682.4223636225635
54000,-693.5936317561416
55000,-659.9564872899142
56000,-649.775778488952
57000,-742.9535212862428
58000,-642.5813494906381
59000,-674.9863677125418
60000,-720.7145519096034
61000,-636.1662573414369
62000,-715.1105061502225
63000,-681.9600849289588
64000,-652.2811943887708
65000,-580.4595834600525
66000,-737.4619497804013
67000,-647.2387479671884
68000,-680.3325317155989
69000,-615.2549367249239
70000,-612.718545992516
71000,-644.6231535038013
72000,-610.4635942574245
73000,-688.1618566112934
74000,-714.8374115758118
75000,-620.6675250313757
76000,-680.196454285947
77000,-745.1997853848876
78000,-603.2478696348061
79000,-663.0702935741747
80000,-692.4924890370618
81000,-730.6454551865061
82000,-627.9697454683923
83000,-619.111297914674
84000,-633.3138823826301
85000,-626.7002539032611
86000,-666.8868440458654
