step,reward
1000,-1471.0
2000,-1451.0
3000,-1506.0
4000,-1563.0
5000,-1302.0
6000,-1251.0
7000,-1533.0
8000,-1372.0
9000,-1487.0
10000,-1280.0
11000,-1223.0
12000,-1229.0
13000,-1248.0
14000,-1284.0
15000,-1286.0
16000,-1262.0
17000,-1177.0
18000,-1092.0
19000,-1256.0
20000,-1195.0
21000,-1039.0
22000,-1100.0
23000,-1089.0
24000,-1025.0
25000,-1090.0
26000,-976.0
27000,-1108.0
28000,-1180.0
29000,-1045.0
30000,-1002.0
31000,-1076.0
32000,-1076.0
33000,-1102.0
34000,-991.0
35000,-997.0
36000,-1004.0
37000,-984.0
38000,-1045.0
39000,-972.0
40000,-915.0
41000,-935.0
42000,-895.0
43000,-947.0
44000,-905.0
45000,-926.0
46000,-940.0
47000,-938.0
48000,-963.0
49000,-835.0
50000,-920.0
51000,-887.0
52000,-901.0
53000,-877.0
54000,-812.0
55000,-869.0
56000,-763.0
57000,-849.0
58000,-858.0
59000,-829.0
60000,-769.0
61000,-803.0
62000,-836.0
63000,-862.0
64000,-803.0
65000,-737.0
66000,-783.0
67000,-890.0
68000,-851.0
69000,-722.0
70000,-765.0
71000,-864.0
72000,-757.0
73000,-854.0
74000,-706.0
75000,-751.0
76000,-713.0
77000,-647.0
78000,-743.0
79000,-659.0
80000,-647.0
81000,-626.0
82000,-890.0
83000,-565.0
84000,-575.0
85000,-576.0
86000,-592.0
87000,-576.0
88000,-576.0
89000,-822.0
90000,-570.0
91000,-582.0
92000,-576.0
93000,-531.0
94000,-502.0
95000,-484.0
96000,-508.0
97000,-507.0
98000,-517.0
99000,-518.0
100000,-491.0
101000,-438.0
102000,-457.0
103000,-353.0
104000,-534.0
105000,-401.0
106000,-401.0
107000,-358.0
108000,-336.0
109000,-322.0
110000,-305.0
111000,-428.0
112000,-281.0
113000,-207.0
114000,-202.0
115000,-180.0
116000,-98.0
117000,-59.0
118000,-191.0
119000,-148.0
120000,-120.0
121000,-38.0
122000,-76.0
123000,-19.0
124000,79.0
125000,-30.0
126000,77.0
127000,6.0
128000,172.0
129000,64.0
130000,81.0
131000,142.0
132000,151.0
133000,165.0
134000,79.0
135000,86.0
136000,213.0
137000,110.0
138000,191.0
139000,289.0
140000,317.0
141000,291.0
142000,224.0
143000,299.0
144000,218.0
145000,323.0
146000,296.0
147000,318.0
148000,242.0
149000,322.0
150000,281.0
151000,348.0
152000,305.0
153000,335.0
154000,395.0
155000,310.0
156000,378.0
157000,430.0
158000,397.0
159000,506.0
160000,376.0
161000,468.0
162000,456.0
163000,81.0
164000,486.0
165000,486.0
166000,490.0
167000,413.0
168000,411.0
169000,396.0
170000,476.0
171000,491.0
172000,506.0
173000,483.0
174000,520.0
175000,288.0
176000,550.0
177000,476.0
178000,564.0
179000,422.0
180000,482.0
181000,497.0
182000,509.0
183000,481.0
184000,497.0
185000,490.0
186000,497.0
187000,599.0
188000,561.0
189000,561.0
190000,535.0
191000,640.0
192000,549.0
193000,548.0
194000,551.0
195000,555.0
196000,584.0
197000,593.0
198000,401.0
199000,598.0
200000,566.0
201000,536.0
202000,519.0
203000,488.0
204000,568.0
205000,617.0
206000,601.0
207000,627.0
208000,587.0
209000,634.0
210000,575.0
211000,568.0
212000,587.0
213000,573.0
214000,595.0
215000,553.0
216000,641.0
217000,634.0
218000,628.0
219000,622.0
220000,637.0
221000,629.0
222000,520.0
223000,606.0
224000,600.0
225000,621.0
226000,517.0
227000,638.0
228000,631.0
229000,654.0
230000,635.0
231000,687.0
232000,705.0
233000,666.0
234000,645.0
235000,629.0
236000,626.0
237000,666.0
238000,611.0
239000,546.0
240000,729.0
241000,631.0
242000,664.0
243000,593.0
244000,609.0
245000,713.0
246000,704.0
247000,689.0
248000,636.0
249000,681.0
250000,669.0
251000,684.0
252000,648.0
253000,706.0
254000,748.0
255000,733.0
256000,754.0
257000,664.0
258000,750.0
259000,693.0
260000,668.0
261000,695.0
262000,715.0
263000,682.0
264000,749.0
265000,672.0
266000,739.0
267000,742.0
268000,525.0
269000,671.0
270000,726.0
271000,632.0
272000,704.0
273000,759.0
274000,704.0
275000,668.0
276000,745.0
277000,651.0
278000,743.0
279000,618.0
280000,716.0
281000,702.0
282000,645.0
283000,696.0
284000,687.0
285000,651.0
286000,690.0
287000,766.0
288000,763.0
289000,696.0
290000,745.0
291000,636.0
292000,666.0
293000,755.0
294000,607.0
295000,730.0
296000,764.0
297000,753.0
298000,758.0
299000,759.0
300000,715.0
301000,682.0
302000,801.0
303000,757.0
304000,726.0
305000,699.0
