step,reward
1000,-1748.7055461919495
2000,-1586.2590520365566
3000,-1484.3123528789927
4000,-1360.1804607623008
5000,-1266.8795462336493
6000,-1119.516553562739
7000,-1075.531631423504
8000,-984.105642268989
9000,-892.0040098333973
10000,-855.3891203484771
11000,-788.5486281916608
12000,-727.6680823058239
13000,-701.9688550363117
14000,-657.106889977127
15000,-613.2014369608618
16000,-565.3799854778196
17000,-539.6203082624002
18000,-499.5720957819801
19000,-486.1321185268117
20000,-440.78481624947983
21000,-436.6865335717969
22000,-406.5854232319595
23000,-385.09197232225654
24000,-370.8723787634539
25000,-363.18451840242807
26000,-364.01818652086956
27000,-358.3830996486973
28000,-349.5291737148277
29000,-352.59316129591963
30000,-341.0662409700252
31000,-335.50754023726273
32000,-345.1245185553254
33000,-322.91750450468373
34000,-327.62616614499007
35000,-316.3418347444669
36000,-313.69124477170516
37000,-314.75718580484914
38000,-318.2119017958344
39000,-311.91913684156157
40000,-312.24482960368937
41000,-306.48222520871496
42000,-305.1055640579347
43000,-309.15494066341023
44000,-295.99660734402164
45000,-303.0589503659927
46000,-292.06429031683757
47000,-305.1190549767837
48000,-301.5489282118948
49000,-294.3259074554534
50000,-288.1939357167887
51000,-286.06028053168086
52000,-288.2421515791616
53000,-287.4222445417778
54000,-287.16628111154625
55000,-288.1046723389464
56000,-280.3366457113613
57000,-273.71405888886613
58000,-273.3770261624637
59000,-272.8411275112421
60000,-265.1155031784387
61000,-259.86642089740855
62000,-245.60543479761776
63000,-253.5983451145648
64000,-252.2997640849187
65000,-253.08008688969213
66000,-246.47737421873643
67000,-243.60910082907228
68000,-243.85340602357672
69000,-241.935613862892
70000,-228.76103066813758
71000,-231.5037756887645
72000,-229.8460371235845
73000,-222.6533568252601
74000,-224.99860619897203
75000,-214.90620709960567
76000,-211.539582689545
77000,-211.93097969053343
78000,-212.4299177304265
79000,-211.59461433393648
80000,-207.22433174450123
81000,-207.08164480962466
82000,-210.02013763634963
83000,-203.34539689075467
84000,-205.65627310032588
85000,-201.49861311039894
86000,-202.1173485792811
87000,-205.31183738817882
88000,-200.52830924951104
