step,reward
1000,-2044.0
2000,-2042.0
3000,-1842.0
4000,-2040.0
5000,-2038.0
6000,-2070.0
7000,-1750.0
8000,-1872.0
9000,-1850.0
10000,-1906.0
11000,-1880.0
12000,-1686.0
13000,-1848.0
14000,-1788.0
15000,-1782.0
16000,-1804.0
17000,-1728.0
18000,-1672.0
19000,-1756.0
20000,-1626.0
21000,-1620.0
22000,-1582.0
23000,-1646.0
24000,-1528.0
25000,-1624.0
26000,-1652.0
27000,-1676.0
28000,-1640.0
29000,-1622.0
30000,-1608.0
31000,-1522.0
32000,-1576.0
33000,-1560.0
34000,-1462.0
35000,-1620.0
36000,-1620.0
37000,-1676.0
38000,-1546.0
39000,-1516.0
40000,-1280.0
41000,-1626.0
42000,-1504.0
43000,-1586.0
44000,-1438.0
45000,-1576.0
46000,-1516.0
47000,-1596.0
48000,-1454.0
49000,-1466.0
50000,-1390.0
51000,-1474.0
52000,-1204.0
53000,-1474.0
54000,-1470.0
55000,-1452.0
56000,-1502.0
57000,-1322.0
58000,-1468.0
59000,-1388.0
60000,-1382.0
61000,-1318.0
62000,-1432.0
63000,-1374.0
64000,-1456.0
65000,-1316.0
66000,-1416.0
67000,-1396.0
68000,-1348.0
69000,-1308.0
70000,-1398.0
71000,-1428.0
72000,-1412.0
73000,-1436.0
74000,-1328.0
75000,-1200.0
76000,-1200.0
77000,-1344.0
78000,-1352.0
79000,-1208.0
80000,-1354.0
81000,-1300.0
82000,-1312.0
83000,-1226.0
84000,-1200.0
85000,-1202.0
86000,-1232.0
87000,-1168.0
88000,-1244.0
89000,-1104.0
90000,-1150.0
91000,-1164.0
92000,-1158.0
93000,-1236.0
94000,-1186.0
95000,-1156.0
96000,-1198.0
97000,-1202.0
98000,-1152.0
99000,-1342.0
100000,-1204.0
101000,-1122.0
102000,-1230.0
103000,-1136.0
104000,-1124.0
105000,-1204.0
106000,-1332.0
107000,-1038.0
108000,-1032.0
109000,-1038.0
110000,-1018.0
111000,-1074.0
112000,-1038.0
113000,-1000.0
114000,-952.0
