step,reward
1000,-2679.0
2000,-2613.0
3000,-2631.0
4000,-2778.0
5000,-2388.0
6000,-2547.0
7000,-2589.0
8000,-2499.0
9000,-2595.0
10000,-2535.0
11000,-2502.0
12000,-2508.0
13000,-2631.0
14000,-2394.0
15000,-2487.0
16000,-2295.0
17000,-2472.0
18000,-2427.0
19000,-2493.0
20000,-2514.0
21000,-2292.0
22000,-2340.0
23000,-2259.0
24000,-2466.0
25000,-2307.0
26000,-2382.0
27000,-2433.0
28000,-2319.0
29000,-2241.0
30000,-2298.0
31000,-2148.0
32000,-2325.0
33000,-2253.0
34000,-2250.0
35000,-2256.0
36000,-2250.0
37000,-2430.0
38000,-2145.0
39000,-2103.0
40000,-2112.0
41000,-2133.0
42000,-2172.0
43000,-2091.0
44000,-2247.0
45000,-2028.0
46000,-2223.0
47000,-2220.0
48000,-2103.0
49000,-2061.0
50000,-2070.0
51000,-2238.0
52000,-2196.0
53000,-2070.0
54000,-2139.0
55000,-2100.0
56000,-2244.0
57000,-2160.0
58000,-2115.0
59000,-2136.0
60000,-2124.0
61000,-1953.0
62000,-2088.0
63000,-2115.0
64000,-2067.0
65000,-2088.0
66000,-2004.0
67000,-1971.0
68000,-2094.0
69000,-1983.0
70000,-2202.0
71000,-1908.0
72000,-1941.0
73000,-1710.0
74000,-1926.0
75000,-1980.0
76000,-2085.0
77000,-2031.0
78000,-1974.0
79000,-2046.0
80000,-1902.0
81000,-1926.0
82000,-1953.0
83000,-1983.0
84000,-1965.0
85000,-2193.0
86000,-1830.0
87000,-1806.0
88000,-1944.0
89000,-1872.0
90000,-1917.0
91000,-1917.0
92000,-1950.0
93000,-1860.0
94000,-1992.0
95000,-1836.0
96000,-2016.0
97000,-1830.0
98000,-1995.0
99000,-1965.0
100000,-1872.0
101000,-1842.0
102000,-1908.0
103000,-1887.0
104000,-1746.0
105000,-1839.0
106000,-1743.0
107000,-1797.0
108000,-1857.0
109000,-1908.0
110000,-1803.0
111000,-1932.0
112000,-1701.0
113000,-1821.0
114000,-1740.0
115000,-1734.0
116000,-1827.0
117000,-1680.0
118000,-1827.0
119000,-1704.0
120000,-1848.0
121000,-1716.0
122000,-1791.0
123000,-1707.0
124000,-1668.0
125000,-1764.0
126000,-1764.0
127000,-1680.0
128000,-1779.0
129000,-1740.0
130000,-1701.0
131000,-1725.0
132000,-1791.0
133000,-1743.0
134000,-1839.0
135000,-1656.0
136000,-1593.0
137000,-1674.0
138000,-1698.0
139000,-1761.0
140000,-1593.0
141000,-1599.0
142000,-1620.0
143000,-1560.0
144000,-1593.0
145000,-1623.0
146000,-1686.0
147000,-1560.0
148000,-1638.0
149000,-1653.0
150000,-1470.0
151000,-1623.0
152000,-1665.0
153000,-1761.0
154000,-1674.0
155000,-1578.0
156000,-1479.0
157000,-1572.0
158000,-1683.0
159000,-1368.0
160000,-1524.0
161000,-1557.0
162000,-1524.0
163000,-1398.0
164000,-1521.0
165000,-1578.0
166000,-1569.0
167000,-1449.0
168000,-1299.0
169000,-1662.0
170000,-1551.0
171000,-1314.0
172000,-1476.0
173000,-1392.0
174000,-1416.0
175000,-1467.0
176000,-1383.0
177000,-1542.0
178000,-1329.0
179000,-1638.0
180000,-1437.0
181000,-1359.0
182000,-1419.0
183000,-1407.0
184000,-1374.0
185000,-1332.0
186000,-1335.0
187000,-1410.0
188000,-1335.0
189000,-1257.0
190000,-1194.0
191000,-1362.0
192000,-1461.0
193000,-1287.0
194000,-1194.0
195000,-1203.0
196000,-1284.0
197000,-1167.0
198000,-1179.0
199000,-1212.0
200000,-1197.0
201000,-1284.0
202000,-1179.0
203000,-1038.0
204000,-1071.0
205000,-1065.0
206000,-1272.0
207000,-1158.0
208000,-975.0
209000,-1008.0
210000,-1215.0
211000,-1065.0
212000,-1071.0
213000,-957.0
214000,-1209.0
215000,-1113.0
216000,-1047.0
217000,-1047.0
218000,-972.0
219000,-996.0
220000,-1059.0
221000,-990.0
222000,-864.0
223000,-918.0
224000,-936.0
225000,-873.0
226000,-861.0
227000,-963.0
228000,-888.0
229000,-993.0
230000,-906.0
231000,-906.0
232000,-810.0
233000,-846.0
234000,-822.0
235000,-867.0
236000,-768.0
237000,-807.0
238000,-711.0
239000,-786.0
240000,-750.0
241000,-720.0
242000,-741.0
243000,-726.0
244000,-705.0
245000,-786.0
246000,-624.0
247000,-786.0
248000,-693.0
249000,-729.0
250000,-774.0
251000,-750.0
252000,-777.0
253000,-732.0
254000,-594.0
255000,-660.0
256000,-627.0
257000,-633.0
258000,-690.0
259000,-612.0
260000,-675.0
261000,-591.0
262000,-597.0
263000,-597.0
264000,-567.0
265000,-648.0
266000,-588.0
267000,-603.0
268000,-612.0
269000,-804.0
270000,-687.0
271000,-690.0
272000,-549.0
273000,-570.0
274000,-654.0
275000,-576.0
276000,-579.0
277000,-567.0
278000,-564.0
279000,-582.0
280000,-624.0
281000,-582.0
282000,-528.0
283000,-624.0
284000,-597.0
285000,-621.0
286000,-630.0
287000,-525.0
288000,-549.0
289000,-582.0
290000,-519.0
291000,-564.0
292000,-546.0
293000,-540.0
294000,-594.0
295000,-501.0
296000,-453.0
297000,-495.0
298000,-540.0
299000,-549.0
300000,-549.0
301000,-627.0
302000,-525.0
303000,-573.0
304000,-576.0
305000,-522.0
306000,-510.0
307000,-648.0
308000,-552.0
309000,-561.0
310000,-492.0
311000,-480.0
312000,-570.0
313000,-492.0
314000,-555.0
315000,-504.0
316000,-465.0
317000,-498.0
318000,-534.0
319000,-450.0
320000,-507.0
321000,-498.0
322000,-471.0
323000,-504.0
324000,-534.0
325000,-486.0
326000,-537.0
327000,-510.0
328000,-558.0
329000,-570.0
330000,-534.0
331000,-474.0
332000,-525.0
333000,-444.0
334000,-492.0
335000,-456.0
336000,-483.0
337000,-474.0
338000,-474.0
339000,-486.0
340000,-525.0
341000,-516.0
342000,-588.0
343000,-483.0
344000,-480.0
345000,-477.0
346000,-459.0
347000,-492.0
348000,-468.0
349000,-480.0
350000,-465.0
351000,-459.0
352000,-645.0
353000,-483.0
354000,-414.0
355000,-546.0
356000,-522.0
357000,-474.0
358000,-567.0
359000,-489.0
360000,-480.0
361000,-477.0
362000,-456.0
363000,-498.0
364000,-450.0
365000,-462.0
366000,-498.0
367000,-444.0
368000,-450.0
369000,-504.0
370000,-483.0
371000,-498.0
372000,-438.0
373000,-453.0
374000,-465.0
375000,-468.0
376000,-471.0
377000,-1446.0
378000,-438.0
379000,-480.0
380000,-438.0
381000,-444.0
382000,-429.0
383000,-462.0
384000,-426.0
385000,-480.0
386000,-483.0
387000,-477.0
388000,-450.0
389000,-429.0
390000,-489.0
391000,-444.0
392000,-555.0
393000,-582.0
394000,-444.0
395000,-474.0
396000,-447.0
397000,-435.0
398000,-447.0
399000,-441.0
400000,-522.0
401000,-417.0
402000,-438.0
403000,-402.0
404000,-465.0
405000,-447.0
406000,-438.0
407000,-438.0
408000,-438.0
409000,-429.0
410000,-423.0
411000,-408.0
412000,-480.0
413000,-420.0
414000,-426.0
415000,-411.0
416000,-456.0
417000,-432.0
418000,-447.0
419000,-471.0
420000,-402.0
421000,-432.0
422000,-438.0
423000,-450.0
424000,-435.0
425000,-525.0
426000,-459.0
427000,-438.0
428000,-417.0
429000,-411.0
430000,-447.0
431000,-408.0
432000,-429.0
433000,-429.0
434000,-405.0
435000,-438.0
436000,-396.0
437000,-426.0
438000,-417.0
439000,-435.0
440000,-408.0
441000,-462.0
442000,-408.0
443000,-408.0
444000,-405.0
445000,-504.0
446000,-369.0
447000,-405.0
448000,-453.0
449000,-408.0
450000,-432.0
451000,-396.0
452000,-429.0
453000,-474.0
454000,-363.0
455000,-438.0
456000,-369.0
457000,-399.0
458000,-396.0
459000,-456.0
460000,-426.0
461000,-378.0
462000,-417.0
463000,-420.0
464000,-390.0
465000,-393.0
466000,-369.0
467000,-381.0
468000,-402.0
469000,-360.0
470000,-462.0
471000,-408.0
472000,-399.0
473000,-396.0
474000,-429.0
475000,-381.0
476000,-381.0
477000,-387.0
478000,-387.0
479000,-405.0
480000,-447.0
481000,-408.0
482000,-366.0
483000,-357.0
484000,-351.0
485000,-381.0
486000,-357.0
487000,-372.0
488000,-426.0
489000,-393.0
490000,-435.0
491000,-372.0
492000,-378.0
493000,-354.0
494000,-417.0
495000,-408.0
496000,-342.0
497000,-378.0
498000,-315.0
499000,-363.0
500000,-327.0
501000,-345.0
502000,-381.0
503000,-372.0
504000,-360.0
505000,-375.0
506000,-372.0
507000,-366.0
508000,-357.0
509000,-333.0
510000,-423.0
511000,-336.0
512000,-360.0
513000,-351.0
514000,-369.0
515000,-360.0
516000,-315.0
517000,-312.0
518000,-387.0
519000,-312.0
520000,-321.0
521000,-348.0
522000,-324.0
523000,-321.0
524000,-378.0
525000,-303.0
526000,-354.0
527000,-327.0
528000,-408.0
529000,-288.0
530000,-381.0
531000,-330.0
532000,-312.0
533000,-348.0
534000,-345.0
535000,-366.0
536000,-312.0
537000,-333.0
538000,-324.0
539000,-357.0
540000,-327.0
541000,-300.0
542000,-294.0
543000,-342.0
544000,-285.0
545000,-318.0
546000,-303.0
547000,-252.0
548000,-312.0
549000,-288.0
550000,-411.0
551000,-285.0
552000,-288.0
553000,-324.0
554000,-312.0
555000,-282.0
556000,-264.0
557000,-336.0
558000,-318.0
559000,-357.0
560000,-243.0
561000,-294.0
562000,-246.0
563000,-249.0
564000,-279.0
565000,-264.0
566000,-246.0
567000,-267.0
568000,-249.0
569000,-285.0
570000,-306.0
571000,-288.0
572000,-312.0
573000,-273.0
574000,-261.0
575000,-249.0
576000,-243.0
577000,-351.0
578000,-255.0
579000,-270.0
580000,-258.0
581000,-258.0
582000,-240.0
583000,-297.0
584000,-252.0
585000,-225.0
586000,-243.0
587000,-243.0
588000,-252.0
589000,-225.0
590000,-246.0
591000,-246.0
592000,-261.0
593000,-315.0
594000,-231.0
595000,-225.0
596000,-234.0
597000,-213.0
598000,-177.0
