step,reward
1000,-1693.9341170755836
2000,-1542.7640786655957
3000,-1437.7494214956337
4000,-1323.8417016840694
5000,-1186.4679082420678
6000,-1122.6713584810839
7000,-1063.1746900207013
8000,-992.102444625435
9000,-900.634122262877
10000,-827.1111425667563
11000,-795.9915254838887
12000,-728.51778575778
13000,-711.6553753197326
14000,-670.9745736245729
15000,-650.7800824870403
16000,-643.5717773782577
17000,-601.9983798929594
18000,-587.0779471490544
19000,-555.2000362165878
20000,-534.2152155855033
21000,-507.05180798775325
22000,-490.4498780902819
23000,-467.3685971854261
24000,-457.20718034526675
25000,-423.07080657628325
26000,-415.50898637764
27000,-428.3200136356034
28000,-417.8010597712817
29000,-410.51024303498787
30000,-394.78673036367184
31000,-386.32946195251645
32000,-392.05313237886344
33000,-389.24732435359664
34000,-392.8177797810771
35000,-388.29106119940707
36000,-388.0238877195373
37000,-377.1538014006356
38000,-368.50552813695015
39000,-378.74409919479893
40000,-370.8523077936684
41000,-375.7281886017694
42000,-354.43575096391146
43000,-364.66480303828575
44000,-353.0115729961345
45000,-351.1726440880059
46000,-358.21689941563704
47000,-345.60832117751994
48000,-339.2567455920652
49000,-346.4918280460007
50000,-335.77454314398597
51000,-328.03854312967974
52000,-322.2288819265446
53000,-329.36617260477516
54000,-329.41535975842305
55000,-312.3957495700967
56000,-322.61752429157724
57000,-326.05214165683253
58000,-323.0862899710842
59000,-300.4895125322609
60000,-295.61539735620727
61000,-303.9580613928815
62000,-297.8407546495923
63000,-300.6174300331313
64000,-302.52300520176004
65000,-283.5638811765386
66000,-302.2652334754046
67000,-289.87298752026356
68000,-295.4329908358439
69000,-297.2156521997661
70000,-280.38471161069765
71000,-283.0552527598595
72000,-268.80732991511144
73000,-258.50038605247244
74000,-263.96201682322504
75000,-262.79483824735297
76000,-254.64257517329455
77000,-257.30700440807715
78000,-262.48146599692893
79000,-251.3177744749184
80000,-241.26449678264945
81000,-240.74268332462972
82000,-248.10000815295112
83000,-244.63903542924842
84000,-231.03310547752258
85000,-226.75834703078635
86000,-227.5899075138494
87000,-218.10751003786785
88000,-218.169639087048
89000,-227.2226323425955
90000,-224.4998586668139
91000,-223.34238509495754
92000,-223.7269608806802
93000,-216.75967537361933
94000,-213.84934315535003
95000,-213.31867921372185
96000,-213.54845120630475
97000,-214.916683010893
98000,-209.59645444886195
99000,-209.7235853649885
100000,-203.81671340818593
101000,-196.77670966044207
102000,-204.52569386195603
103000,-206.20647478054897
104000,-199.13010718819734
105000,-195.47858249347777
106000,-189.19202280040466
107000,-192.27235701731857
108000,-191.9747555599758
109000,-197.49094415636796
