step,reward
1000,-2682.0
2000,-2616.0
3000,-2661.0
4000,-2655.0
5000,-2685.0
6000,-2718.0
7000,-2790.0
8000,-2772.0
9000,-2670.0
10000,-2748.0
11000,-2424.0
12000,-2556.0
13000,-2772.0
14000,-2772.0
15000,-2505.0
16000,-2553.0
17000,-2670.0
18000,-2697.0
19000,-2637.0
20000,-2562.0
21000,-2733.0
22000,-2592.0
23000,-2562.0
24000,-2541.0
25000,-2505.0
26000,-2712.0
27000,-2604.0
28000,-2490.0
29000,-2562.0
30000,-2601.0
31000,-2481.0
32000,-2634.0
33000,-2544.0
34000,-2595.0
35000,-2562.0
36000,-2466.0
37000,-2646.0
38000,-2454.0
39000,-2430.0
40000,-2424.0
41000,-2493.0
42000,-2535.0
43000,-2724.0
44000,-2448.0
45000,-2502.0
46000,-2355.0
47000,-2463.0
48000,-2358.0
49000,-2469.0
50000,-2514.0
51000,-2670.0
52000,-2601.0
53000,-2493.0
54000,-2529.0
55000,-2562.0
56000,-2526.0
57000,-2538.0
58000,-2451.0
59000,-2493.0
60000,-2541.0
61000,-2496.0
62000,-2442.0
63000,-2511.0
64000,-2316.0
65000,-2394.0
66000,-2610.0
67000,-2601.0
68000,-2556.0
69000,-2412.0
70000,-2625.0
71000,-2529.0
72000,-2463.0
73000,-2505.0
74000,-2589.0
75000,-2532.0
76000,-2589.0
77000,-2526.0
78000,-2481.0
79000,-2559.0
80000,-2463.0
81000,-2562.0
82000,-2547.0
83000,-2502.0
84000,-2568.0
85000,-2379.0
86000,-2472.0
87000,-2427.0
88000,-2511.0
89000,-2541.0
90000,-2499.0
91000,-2259.0
92000,-2451.0
93000,-2400.0
94000,-2421.0
95000,-2361.0
96000,-2370.0
97000,-2517.0
98000,-2334.0
99000,-2487.0
100000,-2559.0
101000,-2355.0
102000,-2418.0
103000,-2415.0
104000,-2418.0
105000,-2457.0
106000,-2286.0
107000,-2472.0
108000,-2508.0
109000,-2412.0
110000,-2508.0
111000,-2463.0
112000,-2574.0
113000,-2502.0
114000,-2418.0
115000,-2406.0
116000,-2415.0
117000,-2463.0
118000,-2487.0
119000,-2343.0
120000,-2445.0
121000,-2520.0
122000,-2373.0
123000,-2325.0
124000,-2445.0
125000,-2424.0
126000,-2400.0
127000,-2199.0
128000,-2382.0
129000,-2409.0
130000,-2373.0
131000,-2325.0
132000,-2508.0
133000,-2361.0
134000,-2397.0
135000,-2442.0
136000,-2463.0
137000,-2430.0
138000,-2451.0
139000,-2337.0
140000,-2304.0
141000,-2418.0
142000,-2379.0
143000,-2397.0
144000,-2346.0
145000,-2391.0
146000,-2514.0
147000,-2259.0
148000,-2466.0
149000,-2421.0
150000,-2400.0
151000,-2430.0
152000,-2448.0
153000,-2403.0
154000,-2364.0
155000,-2280.0
156000,-2463.0
157000,-2325.0
158000,-2364.0
159000,-2328.0
160000,-2292.0
161000,-2337.0
162000,-2463.0
163000,-2370.0
164000,-2331.0
165000,-2292.0
166000,-2280.0
167000,-2439.0
168000,-2277.0
169000,-2310.0
170000,-2352.0
171000,-2307.0
172000,-2346.0
173000,-2490.0
174000,-2271.0
175000,-2352.0
176000,-2346.0
177000,-2445.0
178000,-2355.0
179000,-2361.0
180000,-2259.0
181000,-2247.0
182000,-2442.0
183000,-2400.0
184000,-2343.0
185000,-2292.0
186000,-2214.0
187000,-2304.0
188000,-2319.0
189000,-2235.0
190000,-2343.0
191000,-2274.0
192000,-2289.0
193000,-2241.0
194000,-2250.0
195000,-2385.0
196000,-2259.0
197000,-2253.0
198000,-2304.0
199000,-2373.0
200000,-2283.0
201000,-2304.0
202000,-2256.0
203000,-2127.0
204000,-2514.0
205000,-2097.0
206000,-2352.0
207000,-2226.0
208000,-2355.0
209000,-2367.0
210000,-2364.0
211000,-2334.0
212000,-2259.0
213000,-2310.0
214000,-2292.0
215000,-2352.0
216000,-2172.0
217000,-2472.0
218000,-2304.0
219000,-2268.0
220000,-2208.0
221000,-2211.0
222000,-2037.0
223000,-2298.0
224000,-2265.0
225000,-2235.0
226000,-2172.0
227000,-2349.0
228000,-2196.0
229000,-2370.0
230000,-2283.0
231000,-2301.0
232000,-2040.0
233000,-2226.0
234000,-2202.0
235000,-2493.0
236000,-2223.0
237000,-2337.0
238000,-2331.0
239000,-2247.0
240000,-2196.0
241000,-2277.0
242000,-2202.0
243000,-2145.0
244000,-2265.0
245000,-2226.0
246000,-2163.0
247000,-2226.0
248000,-2274.0
249000,-2223.0
250000,-2208.0
251000,-2214.0
252000,-2301.0
253000,-2268.0
254000,-2226.0
255000,-2340.0
256000,-2082.0
257000,-2316.0
258000,-2280.0
259000,-2304.0
260000,-2133.0
261000,-2289.0
262000,-2241.0
263000,-2298.0
264000,-2415.0
265000,-2136.0
266000,-2121.0
267000,-2058.0
268000,-2295.0
269000,-2280.0
270000,-2247.0
271000,-2244.0
272000,-2238.0
273000,-2262.0
274000,-2253.0
275000,-2157.0
276000,-2178.0
277000,-2172.0
278000,-2328.0
279000,-2331.0
280000,-2217.0
281000,-2229.0
282000,-2139.0
283000,-2178.0
284000,-2313.0
285000,-2205.0
286000,-2214.0
287000,-2070.0
288000,-2193.0
289000,-2112.0
290000,-2226.0
291000,-2157.0
292000,-2268.0
293000,-2208.0
294000,-2262.0
295000,-2052.0
296000,-2181.0
297000,-2133.0
298000,-2139.0
299000,-2070.0
300000,-2220.0
301000,-2160.0
302000,-2091.0
303000,-2133.0
304000,-2220.0
305000,-2295.0
306000,-2109.0
307000,-2076.0
308000,-2217.0
309000,-2235.0
310000,-2175.0
311000,-2208.0
312000,-2247.0
313000,-2226.0
314000,-2172.0
315000,-2166.0
316000,-2118.0
317000,-2139.0
318000,-2211.0
319000,-2289.0
320000,-2145.0
321000,-2199.0
322000,-2022.0
323000,-2304.0
324000,-2259.0
325000,-2136.0
326000,-2106.0
327000,-2124.0
328000,-2280.0
329000,-2244.0
330000,-2157.0
331000,-1821.0
332000,-2118.0
333000,-2058.0
334000,-1986.0
335000,-1986.0
336000,-2028.0
337000,-2145.0
338000,-1974.0
339000,-2304.0
340000,-1992.0
341000,-2106.0
342000,-2151.0
343000,-2073.0
344000,-2238.0
345000,-2154.0
346000,-2175.0
347000,-2085.0
348000,-1974.0
349000,-1980.0
350000,-2106.0
351000,-1968.0
352000,-2268.0
353000,-2142.0
354000,-2151.0
355000,-2241.0
356000,-2136.0
357000,-2214.0
358000,-2046.0
359000,-2184.0
360000,-2091.0
361000,-2082.0
362000,-2151.0
363000,-2163.0
364000,-2055.0
365000,-2205.0
366000,-2097.0
367000,-1992.0
368000,-2094.0
369000,-2139.0
370000,-1968.0
371000,-2100.0
372000,-1941.0
373000,-1893.0
374000,-2139.0
375000,-2004.0
376000,-2034.0
377000,-2079.0
378000,-1992.0
379000,-2046.0
380000,-2073.0
381000,-2013.0
382000,-2130.0
383000,-2184.0
384000,-2136.0
385000,-1986.0
386000,-2073.0
387000,-1986.0
388000,-2082.0
389000,-2028.0
390000,-2079.0
391000,-2133.0
392000,-2082.0
393000,-2034.0
394000,-2112.0
395000,-2010.0
396000,-2079.0
397000,-1911.0
398000,-1977.0
399000,-2094.0
400000,-1839.0
401000,-2052.0
402000,-2031.0
403000,-2064.0
404000,-2016.0
405000,-2019.0
406000,-2127.0
407000,-2058.0
408000,-1950.0
409000,-2049.0
410000,-2277.0
411000,-2079.0
412000,-1920.0
413000,-2121.0
414000,-2079.0
415000,-2013.0
416000,-2007.0
417000,-1878.0
418000,-2034.0
419000,-2055.0
420000,-2082.0
421000,-2160.0
422000,-2019.0
423000,-1989.0
424000,-1896.0
425000,-1935.0
426000,-1965.0
427000,-1950.0
428000,-2004.0
429000,-1908.0
430000,-2097.0
431000,-2031.0
432000,-2094.0
433000,-2013.0
434000,-2082.0
435000,-2013.0
436000,-2055.0
437000,-2031.0
438000,-1917.0
439000,-2013.0
440000,-1923.0
441000,-2064.0
442000,-2142.0
443000,-1926.0
444000,-2127.0
445000,-2067.0
446000,-2049.0
447000,-1872.0
448000,-1923.0
449000,-2043.0
450000,-2034.0
451000,-2019.0
452000,-1869.0
453000,-1971.0
454000,-2004.0
455000,-1926.0
456000,-1983.0
457000,-1899.0
458000,-2004.0
459000,-1959.0
460000,-1974.0
461000,-1932.0
462000,-1947.0
463000,-2019.0
464000,-1935.0
465000,-2067.0
466000,-1905.0
467000,-1971.0
468000,-2124.0
469000,-2079.0
470000,-1953.0
471000,-1998.0
472000,-1983.0
473000,-1893.0
474000,-1971.0
475000,-2112.0
476000,-1890.0
477000,-1872.0
478000,-1911.0
479000,-2028.0
480000,-2082.0
481000,-1875.0
482000,-1785.0
483000,-1803.0
484000,-1941.0
485000,-1926.0
486000,-1995.0
487000,-1968.0
488000,-1875.0
489000,-1917.0
490000,-1977.0
491000,-1992.0
492000,-1875.0
493000,-1884.0
494000,-1824.0
495000,-1959.0
496000,-1800.0
497000,-1935.0
498000,-1875.0
499000,-1962.0
500000,-1971.0
501000,-1956.0
502000,-1989.0
503000,-1896.0
504000,-1890.0
505000,-1926.0
506000,-1902.0
507000,-1995.0
508000,-1962.0
509000,-1881.0
510000,-1767.0
511000,-1896.0
512000,-1950.0
513000,-1956.0
514000,-1854.0
515000,-1986.0
516000,-1869.0
517000,-1713.0
518000,-1950.0
519000,-1818.0
520000,-1887.0
521000,-1659.0
522000,-1857.0
523000,-1863.0
524000,-1698.0
525000,-1848.0
526000,-1830.0
527000,-1860.0
528000,-1962.0
529000,-1869.0
530000,-1836.0
531000,-2034.0
532000,-1800.0
533000,-1905.0
534000,-1761.0
535000,-1872.0
536000,-1836.0
537000,-1836.0
538000,-1683.0
539000,-1866.0
540000,-1875.0
541000,-1839.0
542000,-1809.0
543000,-1731.0
544000,-1812.0
545000,-1860.0
546000,-1953.0
547000,-1749.0
548000,-1650.0
549000,-1764.0
550000,-2049.0
551000,-1809.0
552000,-1815.0
553000,-1785.0
554000,-1740.0
555000,-1797.0
556000,-1584.0
557000,-1737.0
558000,-1848.0
559000,-1776.0
560000,-1638.0
561000,-1833.0
562000,-1884.0
563000,-1707.0
564000,-1719.0
565000,-1761.0
566000,-1863.0
567000,-1785.0
568000,-1617.0
569000,-1770.0
570000,-1668.0
571000,-1725.0
572000,-1677.0
573000,-1746.0
574000,-1617.0
575000,-1545.0
576000,-1809.0
577000,-1749.0
578000,-1737.0
579000,-1875.0
580000,-1728.0
581000,-1623.0
582000,-1647.0
583000,-1899.0
584000,-1833.0
585000,-1740.0
586000,-1809.0
587000,-1818.0
588000,-1797.0
589000,-1692.0
590000,-1734.0
591000,-1878.0
592000,-1662.0
593000,-1656.0
594000,-1830.0
595000,-1659.0
596000,-1800.0
597000,-1707.0
598000,-1764.0
599000,-1689.0
600000,-1761.0
601000,-1698.0
602000,-1719.0
603000,-1665.0
604000,-1593.0
605000,-1614.0
606000,-1698.0
607000,-1725.0
608000,-1656.0
609000,-1695.0
610000,-1815.0
611000,-1776.0
612000,-1743.0
613000,-1737.0
614000,-1641.0
615000,-1494.0
616000,-1584.0
617000,-1686.0
618000,-1671.0
619000,-1704.0
620000,-1596.0
621000,-1662.0
622000,-1653.0
623000,-1587.0
624000,-1659.0
625000,-1605.0
626000,-1644.0
627000,-1695.0
628000,-1626.0
629000,-1671.0
630000,-1602.0
631000,-1620.0
632000,-1710.0
633000,-1578.0
634000,-1740.0
635000,-1539.0
636000,-1554.0
637000,-1686.0
638000,-1623.0
639000,-1656.0
640000,-1668.0
641000,-1551.0
642000,-1416.0
643000,-1743.0
644000,-1578.0
645000,-1581.0
646000,-1671.0
647000,-1569.0
648000,-1602.0
649000,-1404.0
650000,-1509.0
651000,-1497.0
652000,-1515.0
653000,-1449.0
654000,-1689.0
655000,-1506.0
