step,reward
1000,-1400.0
2000,-1482.0
3000,-1367.0
4000,-1654.0
5000,-1419.0
6000,-1402.0
7000,-1435.0
8000,-1393.0
9000,-1414.0
10000,-1324.0
11000,-1155.0
12000,-1316.0
13000,-1252.0
14000,-1276.0
15000,-1177.0
16000,-1151.0
17000,-1244.0
18000,-1305.0
19000,-1056.0
20000,-1299.0
21000,-1154.0
22000,-1107.0
23000,-1197.0
24000,-1246.0
25000,-948.0
26000,-1185.0
27000,-1094.0
28000,-1041.0
29000,-1044.0
30000,-1158.0
31000,-1104.0
32000,-951.0
33000,-1117.0
34000,-1087.0
35000,-1039.0
36000,-885.0
37000,-1041.0
38000,-974.0
39000,-1033.0
40000,-1030.0
41000,-963.0
42000,-968.0
43000,-1062.0
44000,-1153.0
45000,-940.0
46000,-959.0
47000,-942.0
48000,-917.0
49000,-1004.0
50000,-990.0
51000,-938.0
52000,-964.0
53000,-960.0
54000,-872.0
55000,-885.0
56000,-905.0
57000,-990.0
58000,-1046.0
59000,-877.0
60000,-869.0
61000,-893.0
62000,-831.0
63000,-862.0
64000,-811.0
65000,-771.0
66000,-816.0
67000,-855.0
68000,-785.0
69000,-841.0
70000,-875.0
71000,-832.0
72000,-814.0
73000,-844.0
74000,-836.0
75000,-824.0
76000,-731.0
77000,-796.0
78000,-704.0
79000,-866.0
80000,-746.0
81000,-757.0
82000,-739.0
83000,-768.0
84000,-700.0
85000,-732.0
86000,-710.0
87000,-669.0
88000,-867.0
89000,-654.0
90000,-737.0
91000,-691.0
92000,-768.0
93000,-683.0
94000,-707.0
95000,-687.0
96000,-665.0
97000,-618.0
98000,-600.0
99000,-603.0
100000,-589.0
101000,-619.0
102000,-668.0
103000,-542.0
104000,-570.0
105000,-674.0
106000,-621.0
107000,-665.0
108000,-676.0
109000,-580.0
110000,-499.0
111000,-522.0
112000,-573.0
113000,-465.0
114000,-442.0
115000,-574.0
116000,-411.0
117000,-469.0
118000,-514.0
119000,-441.0
120000,-481.0
121000,-581.0
122000,-552.0
123000,-459.0
124000,-450.0
125000,-488.0
126000,-331.0
127000,-447.0
128000,-361.0
129000,-352.0
130000,-386.0
131000,-352.0
132000,-382.0
133000,-276.0
134000,-340.0
135000,-397.0
136000,-301.0
137000,-275.0
138000,-265.0
139000,-226.0
140000,-354.0
141000,-335.0
142000,-239.0
143000,-253.0
144000,-189.0
145000,-427.0
146000,-154.0
147000,-218.0
148000,-198.0
149000,-165.0
150000,-122.0
151000,-146.0
152000,-218.0
153000,-114.0
154000,-205.0
155000,-120.0
156000,-154.0
157000,-72.0
158000,-181.0
159000,-76.0
160000,-126.0
161000,95.0
162000,30.0
163000,60.0
164000,-65.0
165000,80.0
166000,26.0
167000,111.0
168000,-133.0
169000,129.0
170000,171.0
171000,6.0
172000,126.0
173000,218.0
174000,148.0
175000,210.0
176000,62.0
177000,164.0
178000,-7.0
179000,-66.0
180000,188.0
181000,133.0
182000,256.0
183000,161.0
184000,335.0
185000,186.0
186000,141.0
187000,110.0
188000,174.0
189000,209.0
190000,264.0
191000,284.0
192000,313.0
193000,244.0
194000,282.0
195000,48.0
196000,169.0
197000,225.0
198000,299.0
199000,303.0
200000,45.0
201000,243.0
202000,225.0
203000,160.0
204000,-34.0
205000,335.0
206000,65.0
207000,59.0
208000,282.0
209000,415.0
210000,256.0
211000,255.0
212000,290.0
213000,212.0
214000,278.0
215000,235.0
216000,227.0
217000,239.0
218000,226.0
219000,267.0
220000,239.0
221000,150.0
222000,237.0
223000,261.0
224000,281.0
225000,351.0
226000,257.0
227000,144.0
228000,102.0
229000,267.0
230000,272.0
231000,276.0
232000,315.0
233000,149.0
234000,277.0
235000,302.0
