step,reward
1000,-2751.0
2000,-2646.0
3000,-2751.0
4000,-2661.0
5000,-2112.0
6000,-2640.0
7000,-2595.0
8000,-2445.0
9000,-2508.0
10000,-2481.0
11000,-2508.0
12000,-2574.0
13000,-2541.0
14000,-2316.0
15000,-2538.0
16000,-2385.0
17000,-2394.0
18000,-2316.0
19000,-2382.0
20000,-2382.0
21000,-2448.0
22000,-2454.0
23000,-2373.0
24000,-2334.0
25000,-2283.0
26000,-2376.0
27000,-2247.0
28000,-2307.0
29000,-2289.0
30000,-2409.0
31000,-2400.0
32000,-2208.0
33000,-2298.0
34000,-2307.0
35000,-2115.0
36000,-2322.0
37000,-2229.0
38000,-2361.0
39000,-2307.0
40000,-2229.0
41000,-2070.0
42000,-2175.0
43000,-2115.0
44000,-2196.0
45000,-2238.0
46000,-2043.0
47000,-2277.0
48000,-2241.0
49000,-2307.0
50000,-2145.0
51000,-2160.0
52000,-2190.0
53000,-2148.0
54000,-2181.0
55000,-2079.0
56000,-2151.0
57000,-2142.0
58000,-2208.0
59000,-2232.0
60000,-2190.0
61000,-1989.0
62000,-2049.0
63000,-2097.0
64000,-2277.0
65000,-2040.0
66000,-1998.0
67000,-2052.0
68000,-2109.0
69000,-2103.0
70000,-2070.0
71000,-1998.0
72000,-2028.0
73000,-2097.0
74000,-2061.0
75000,-2109.0
76000,-2058.0
77000,-2007.0
78000,-2040.0
79000,-1953.0
80000,-2079.0
81000,-1980.0
82000,-1965.0
83000,-2001.0
84000,-2040.0
85000,-2130.0
86000,-1956.0
87000,-2061.0
88000,-1962.0
89000,-2001.0
90000,-2298.0
91000,-2085.0
92000,-1869.0
93000,-2097.0
94000,-1872.0
95000,-2001.0
96000,-1986.0
97000,-2013.0
98000,-1887.0
99000,-1890.0
100000,-1911.0
101000,-1770.0
102000,-1893.0
103000,-1923.0
104000,-1986.0
105000,-2007.0
106000,-1878.0
107000,-1872.0
108000,-1872.0
109000,-1914.0
110000,-1797.0
111000,-1923.0
112000,-1821.0
113000,-1812.0
114000,-1959.0
115000,-1989.0
116000,-1710.0
117000,-1845.0
118000,-1818.0
119000,-1818.0
120000,-1812.0
121000,-1812.0
122000,-1902.0
123000,-1839.0
124000,-1785.0
125000,-1737.0
126000,-1758.0
127000,-1740.0
128000,-1767.0
129000,-1851.0
130000,-1692.0
131000,-1560.0
132000,-1698.0
133000,-1686.0
134000,-1671.0
135000,-1698.0
136000,-1713.0
137000,-1812.0
138000,-1695.0
139000,-1590.0
140000,-1602.0
141000,-1668.0
142000,-1593.0
143000,-1569.0
144000,-1665.0
145000,-1704.0
146000,-1479.0
147000,-1638.0
148000,-1473.0
149000,-1707.0
150000,-1458.0
151000,-1683.0
152000,-1626.0
153000,-1665.0
154000,-1458.0
155000,-1572.0
156000,-1530.0
157000,-1599.0
158000,-1458.0
159000,-1725.0
160000,-1485.0
161000,-1572.0
162000,-1395.0
163000,-1386.0
164000,-1464.0
165000,-1458.0
166000,-1482.0
167000,-1452.0
168000,-1404.0
169000,-1401.0
170000,-1494.0
171000,-1530.0
172000,-1455.0
173000,-1332.0
174000,-1398.0
175000,-1515.0
176000,-1509.0
177000,-1368.0
178000,-1425.0
179000,-1338.0
180000,-1326.0
181000,-1404.0
182000,-1356.0
183000,-1404.0
184000,-1311.0
185000,-1242.0
186000,-1386.0
187000,-1323.0
188000,-1602.0
189000,-1350.0
190000,-1290.0
191000,-1299.0
192000,-1293.0
193000,-1278.0
194000,-1284.0
195000,-1500.0
196000,-1347.0
197000,-1296.0
198000,-1335.0
199000,-1314.0
200000,-1380.0
201000,-1266.0
202000,-1284.0
203000,-1299.0
204000,-1221.0
205000,-1278.0
206000,-1224.0
207000,-1212.0
208000,-1182.0
209000,-1197.0
210000,-1152.0
211000,-1152.0
212000,-1218.0
213000,-1227.0
214000,-1476.0
215000,-1293.0
216000,-1107.0
217000,-1170.0
218000,-1125.0
219000,-1110.0
220000,-1194.0
221000,-1218.0
222000,-1272.0
223000,-1122.0
224000,-1122.0
225000,-1149.0
226000,-1167.0
227000,-1350.0
228000,-1014.0
229000,-1005.0
230000,-1167.0
231000,-1137.0
232000,-1092.0
233000,-1149.0
234000,-1119.0
235000,-1110.0
236000,-1062.0
237000,-1056.0
238000,-1029.0
239000,-1008.0
240000,-1029.0
241000,-978.0
242000,-975.0
243000,-972.0
244000,-924.0
245000,-1002.0
246000,-966.0
247000,-969.0
248000,-1035.0
249000,-1107.0
250000,-1242.0
251000,-897.0
252000,-1089.0
253000,-981.0
254000,-981.0
255000,-1038.0
256000,-1032.0
257000,-879.0
258000,-1020.0
259000,-909.0
260000,-900.0
261000,-960.0
262000,-999.0
263000,-906.0
264000,-873.0
265000,-906.0
266000,-891.0
267000,-1239.0
268000,-891.0
269000,-948.0
270000,-915.0
271000,-843.0
272000,-1047.0
273000,-888.0
274000,-1005.0
275000,-876.0
276000,-891.0
277000,-915.0
278000,-828.0
279000,-858.0
280000,-1008.0
281000,-861.0
282000,-801.0
283000,-786.0
284000,-885.0
285000,-810.0
286000,-780.0
287000,-822.0
288000,-828.0
289000,-867.0
290000,-840.0
291000,-783.0
292000,-882.0
293000,-831.0
294000,-921.0
295000,-924.0
296000,-840.0
297000,-771.0
298000,-720.0
299000,-1107.0
300000,-762.0
301000,-798.0
302000,-846.0
303000,-693.0
304000,-852.0
305000,-804.0
306000,-795.0
307000,-714.0
308000,-738.0
309000,-723.0
310000,-687.0
311000,-795.0
312000,-789.0
313000,-732.0
314000,-717.0
315000,-825.0
316000,-756.0
317000,-774.0
318000,-813.0
319000,-711.0
320000,-792.0
321000,-669.0
322000,-609.0
323000,-771.0
324000,-786.0
325000,-732.0
326000,-717.0
327000,-789.0
328000,-774.0
329000,-822.0
330000,-645.0
331000,-768.0
332000,-693.0
333000,-681.0
334000,-645.0
335000,-672.0
336000,-639.0
337000,-657.0
338000,-654.0
339000,-780.0
340000,-735.0
341000,-726.0
342000,-678.0
343000,-600.0
344000,-717.0
345000,-1272.0
346000,-771.0
347000,-621.0
348000,-654.0
349000,-699.0
350000,-618.0
351000,-603.0
352000,-663.0
353000,-1260.0
354000,-657.0
355000,-591.0
356000,-669.0
357000,-705.0
358000,-627.0
359000,-633.0
360000,-630.0
361000,-663.0
362000,-753.0
363000,-612.0
364000,-807.0
365000,-687.0
366000,-633.0
367000,-699.0
368000,-576.0
369000,-591.0
370000,-741.0
371000,-582.0
372000,-651.0
373000,-714.0
374000,-729.0
375000,-624.0
376000,-1383.0
377000,-516.0
378000,-663.0
379000,-657.0
380000,-588.0
381000,-684.0
382000,-525.0
383000,-585.0
384000,-633.0
385000,-651.0
386000,-504.0
387000,-606.0
388000,-501.0
389000,-519.0
390000,-615.0
391000,-597.0
392000,-678.0
393000,-576.0
394000,-516.0
395000,-612.0
396000,-609.0
397000,-570.0
398000,-537.0
399000,-666.0
400000,-582.0
401000,-528.0
402000,-573.0
403000,-564.0
404000,-615.0
405000,-534.0
406000,-594.0
407000,-537.0
408000,-540.0
409000,-573.0
410000,-558.0
411000,-765.0
412000,-570.0
413000,-582.0
414000,-543.0
415000,-597.0
416000,-576.0
417000,-519.0
418000,-585.0
419000,-618.0
420000,-501.0
421000,-516.0
422000,-531.0
423000,-660.0
424000,-630.0
425000,-612.0
426000,-576.0
427000,-531.0
428000,-600.0
429000,-513.0
430000,-588.0
431000,-567.0
432000,-516.0
433000,-468.0
434000,-546.0
435000,-582.0
436000,-645.0
437000,-510.0
438000,-537.0
439000,-540.0
440000,-540.0
441000,-531.0
442000,-504.0
443000,-543.0
444000,-558.0
445000,-567.0
446000,-531.0
447000,-582.0
448000,-597.0
449000,-723.0
450000,-546.0
451000,-555.0
452000,-459.0
453000,-447.0
454000,-507.0
455000,-501.0
456000,-612.0
457000,-531.0
458000,-444.0
459000,-444.0
460000,-483.0
461000,-522.0
462000,-480.0
463000,-507.0
464000,-537.0
465000,-579.0
466000,-546.0
467000,-540.0
468000,-501.0
469000,-555.0
470000,-594.0
471000,-516.0
472000,-486.0
473000,-576.0
474000,-459.0
475000,-537.0
476000,-450.0
477000,-609.0
478000,-504.0
479000,-492.0
480000,-498.0
481000,-591.0
482000,-510.0
483000,-492.0
484000,-480.0
485000,-483.0
486000,-582.0
487000,-525.0
488000,-588.0
489000,-1455.0
490000,-558.0
491000,-468.0
492000,-459.0
493000,-462.0
494000,-519.0
495000,-474.0
496000,-564.0
497000,-510.0
498000,-522.0
499000,-546.0
500000,-540.0
501000,-531.0
502000,-747.0
503000,-510.0
504000,-537.0
505000,-642.0
506000,-495.0
507000,-540.0
508000,-519.0
509000,-477.0
510000,-531.0
511000,-573.0
512000,-492.0
513000,-531.0
514000,-576.0
515000,-519.0
516000,-492.0
517000,-468.0
518000,-510.0
519000,-528.0
520000,-531.0
521000,-501.0
522000,-621.0
523000,-534.0
524000,-513.0
525000,-522.0
526000,-591.0
527000,-585.0
528000,-474.0
529000,-552.0
530000,-504.0
531000,-444.0
532000,-444.0
533000,-480.0
534000,-606.0
535000,-498.0
536000,-546.0
537000,-531.0
538000,-459.0
539000,-483.0
540000,-618.0
541000,-474.0
542000,-444.0
543000,-501.0
544000,-552.0
545000,-456.0
546000,-519.0
547000,-504.0
548000,-486.0
549000,-501.0
550000,-477.0
551000,-558.0
552000,-420.0
553000,-480.0
554000,-495.0
555000,-507.0
556000,-477.0
557000,-573.0
558000,-597.0
559000,-516.0
560000,-450.0
561000,-474.0
562000,-486.0
563000,-615.0
564000,-492.0
565000,-585.0
566000,-486.0
567000,-534.0
568000,-591.0
569000,-450.0
570000,-498.0
571000,-516.0
572000,-540.0
573000,-513.0
574000,-465.0
575000,-435.0
576000,-567.0
577000,-480.0
578000,-480.0
579000,-456.0
580000,-486.0
581000,-498.0
582000,-495.0
583000,-492.0
584000,-507.0
585000,-480.0
586000,-495.0
587000,-465.0
588000,-477.0
589000,-480.0
590000,-438.0
591000,-552.0
592000,-489.0
593000,-483.0
594000,-576.0
595000,-468.0
596000,-588.0
597000,-429.0
598000,-447.0
599000,-471.0
600000,-429.0
601000,-456.0
602000,-576.0
603000,-522.0
604000,-474.0
605000,-471.0
606000,-465.0
607000,-483.0
608000,-501.0
609000,-462.0
610000,-444.0
611000,-474.0
612000,-519.0
613000,-483.0
614000,-447.0
615000,-435.0
616000,-492.0
617000,-501.0
618000,-459.0
619000,-447.0
620000,-468.0
621000,-501.0
622000,-477.0
623000,-567.0
624000,-426.0
625000,-519.0
626000,-417.0
627000,-468.0
628000,-429.0
629000,-618.0
630000,-498.0
631000,-552.0
632000,-492.0
633000,-594.0
634000,-1401.0
635000,-471.0
636000,-492.0
637000,-435.0
638000,-435.0
639000,-510.0
640000,-519.0
641000,-513.0
642000,-1446.0
643000,-435.0
644000,-495.0
645000,-486.0
646000,-492.0
647000,-480.0
648000,-453.0
649000,-501.0
650000,-423.0
651000,-444.0
652000,-486.0
653000,-465.0
654000,-432.0
655000,-432.0
656000,-471.0
657000,-522.0
658000,-426.0
659000,-570.0
660000,-459.0
661000,-468.0
662000,-1548.0
663000,-480.0
664000,-651.0
665000,-513.0
666000,-456.0
667000,-465.0
668000,-459.0
669000,-474.0
670000,-561.0
671000,-528.0
672000,-447.0
673000,-447.0
674000,-495.0
675000,-522.0
676000,-459.0
677000,-588.0
678000,-474.0
679000,-408.0
680000,-417.0
681000,-498.0
682000,-513.0
683000,-453.0
684000,-417.0
685000,-486.0
686000,-513.0
687000,-489.0
688000,-438.0
689000,-510.0
690000,-495.0
691000,-438.0
692000,-471.0
693000,-504.0
694000,-495.0
695000,-426.0
696000,-438.0
697000,-513.0
698000,-462.0
699000,-465.0
700000,-462.0
701000,-489.0
702000,-519.0
703000,-618.0
704000,-462.0
705000,-429.0
706000,-444.0
707000,-528.0
708000,-573.0
709000,-594.0
710000,-438.0
711000,-1701.0
712000,-516.0
713000,-441.0
714000,-456.0
715000,-441.0
716000,-489.0
717000,-516.0
718000,-483.0
719000,-426.0
720000,-489.0
721000,-435.0
722000,-450.0
723000,-420.0
724000,-411.0
725000,-468.0
726000,-468.0
727000,-468.0
728000,-573.0
729000,-414.0
730000,-450.0
731000,-417.0
732000,-393.0
733000,-423.0
734000,-393.0
735000,-486.0
736000,-456.0
737000,-414.0
738000,-447.0
739000,-513.0
740000,-414.0
741000,-459.0
742000,-438.0
743000,-435.0
744000,-465.0
745000,-405.0
746000,-420.0
747000,-513.0
748000,-513.0
749000,-489.0
750000,-414.0
751000,-453.0
752000,-450.0
753000,-435.0
754000,-432.0
755000,-420.0
756000,-411.0
757000,-462.0
758000,-477.0
759000,-405.0
760000,-486.0
761000,-486.0
762000,-393.0
763000,-462.0
764000,-456.0
765000,-414.0
766000,-480.0
767000,-423.0
768000,-438.0
769000,-450.0
770000,-414.0
771000,-423.0
772000,-426.0
773000,-432.0
774000,-402.0
775000,-405.0
776000,-444.0
777000,-444.0
778000,-393.0
779000,-381.0
780000,-408.0
781000,-495.0
782000,-429.0
783000,-408.0
784000,-369.0
785000,-399.0
786000,-402.0
787000,-438.0
788000,-423.0
789000,-441.0
790000,-429.0
791000,-396.0
792000,-405.0
793000,-450.0
794000,-438.0
795000,-426.0
796000,-501.0
797000,-471.0
798000,-420.0
799000,-411.0
800000,-1419.0
801000,-528.0
802000,-420.0
803000,-435.0
804000,-474.0
805000,-429.0
806000,-396.0
807000,-399.0
808000,-477.0
809000,-363.0
810000,-585.0
811000,-420.0
812000,-396.0
813000,-507.0
814000,-447.0
815000,-432.0
816000,-522.0
817000,-375.0
818000,-330.0
819000,-372.0
820000,-423.0
821000,-402.0
822000,-384.0
823000,-435.0
824000,-450.0
825000,-378.0
826000,-492.0
827000,-387.0
828000,-453.0
829000,-426.0
830000,-390.0
831000,-357.0
832000,-387.0
833000,-366.0
834000,-420.0
835000,-408.0
836000,-363.0
837000,-426.0
838000,-414.0
839000,-384.0
840000,-453.0
841000,-477.0
842000,-423.0
843000,-396.0
844000,-363.0
845000,-429.0
846000,-378.0
847000,-345.0
848000,-381.0
849000,-372.0
850000,-405.0
851000,-387.0
852000,-375.0
853000,-447.0
854000,-339.0
855000,-399.0
856000,-423.0
857000,-441.0
858000,-384.0
859000,-351.0
860000,-408.0
861000,-342.0
862000,-324.0
863000,-423.0
864000,-390.0
865000,-438.0
866000,-432.0
867000,-378.0
868000,-420.0
869000,-492.0
870000,-444.0
871000,-351.0
872000,-333.0
873000,-378.0
874000,-381.0
875000,-438.0
876000,-330.0
877000,-351.0
878000,-567.0
879000,-561.0
880000,-432.0
881000,-360.0
882000,-423.0
883000,-363.0
884000,-342.0
885000,-399.0
886000,-357.0
887000,-369.0
888000,-336.0
889000,-432.0
890000,-435.0
891000,-339.0
892000,-321.0
893000,-321.0
894000,-306.0
895000,-396.0
896000,-333.0
897000,-324.0
898000,-444.0
899000,-327.0
900000,-387.0
901000,-348.0
902000,-339.0
903000,-312.0
904000,-381.0
905000,-324.0
906000,-291.0
907000,-309.0
908000,-333.0
909000,-345.0
910000,-372.0
911000,-393.0
912000,-348.0
913000,-345.0
914000,-489.0
915000,-360.0
916000,-345.0
917000,-327.0
918000,-351.0
919000,-309.0
920000,-369.0
921000,-354.0
922000,-330.0
923000,-387.0
924000,-339.0
925000,-306.0
926000,-324.0
927000,-357.0
928000,-294.0
929000,-363.0
930000,-306.0
931000,-444.0
932000,-381.0
933000,-450.0
934000,-351.0
935000,-276.0
936000,-357.0
937000,-357.0
938000,-318.0
939000,-348.0
940000,-375.0
941000,-342.0
942000,-312.0
943000,-354.0
944000,-345.0
945000,-276.0
946000,-336.0
947000,-339.0
948000,-333.0
949000,-297.0
950000,-330.0
951000,-288.0
952000,-354.0
953000,-291.0
954000,-288.0
955000,-318.0
956000,-330.0
957000,-348.0
958000,-354.0
959000,-1455.0
960000,-285.0
961000,-312.0
962000,-264.0
963000,-300.0
964000,-324.0
965000,-525.0
966000,-309.0
967000,-297.0
968000,-507.0
969000,-306.0
970000,-324.0
971000,-339.0
972000,-375.0
973000,-1365.0
974000,-294.0
975000,-306.0
976000,-333.0
977000,-483.0
978000,-273.0
979000,-297.0
980000,-369.0
981000,-441.0
982000,-369.0
983000,-306.0
984000,-321.0
985000,-294.0
986000,-339.0
987000,-282.0
988000,-342.0
989000,-291.0
990000,-276.0
991000,-393.0
992000,-399.0
993000,-315.0
994000,-387.0
995000,-351.0
996000,-348.0
997000,-270.0
998000,-324.0
999000,-297.0
1000000,-309.0
