step,reward
1000,-1394.010145588143
2000,-1288.5547223684339
3000,-1167.4101794148187
4000,-1082.8014362722872
5000,-1012.8817503360833
6000,-929.2509990505863
7000,-853.3406698187125
8000,-836.94209053823
9000,-767.7320284525763
10000,-704.0329525603839
11000,-674.6260222100688
12000,-638.5352595995787
13000,-602.5830333921322
14000,-576.1835816538578
15000,-561.8186907007763
16000,-524.466313471535
17000,-531.8949295274647
18000,-492.31784016266
19000,-481.3683088141428
20000,-476.3664094059844
21000,-456.3924925020903
22000,-443.2992298337334
23000,-446.76941656874794
24000,-423.5479619228745
25000,-411.1629612829506
26000,-420.4686685539342
27000,-396.2567017450036
28000,-390.2947081302515
29000,-392.3976989240032
30000,-381.9933901144922
31000,-370.0664527361834
32000,-363.034434873284
33000,-362.0076714643262
34000,-357.38931376249565
35000,-348.25772053753985
36000,-344.94188659174756
37000,-353.0123644046543
38000,-353.7893690887381
39000,-340.0682130189619
40000,-333.50196826498023
41000,-353.92992004751073
42000,-335.61381877775676
43000,-335.7409504079884
44000,-341.8083987946191
45000,-339.8217180026874
46000,-332.89651634457186
47000,-325.12206545715026
48000,-316.8546456132465
49000,-311.36934021526
50000,-312.0846504229839
51000,-312.0347683051454
52000,-297.84010485579137
53000,-298.65048500074056
54000,-287.6239407206866
55000,-296.97564159372894
56000,-296.8310087056328
57000,-289.3952899271453
58000,-293.20078070132195
59000,-274.36601802538036
60000,-278.04548270166
61000,-268.0848841408397
62000,-270.33265153668606
63000,-271.02569246773203
64000,-266.0150142224065
65000,-265.516724482885
66000,-272.821100406256
67000,-267.50867026661257
68000,-263.6832632939068
69000,-261.73011703620597
70000,-259.04441864892124
71000,-258.80263403389233
72000,-260.1435502482664
73000,-259.8493600240239
74000,-251.58715221102443
75000,-246.5870424102728
76000,-243.08406983092652
77000,-244.32454829309415
78000,-240.9213965173569
79000,-236.86562211217554
80000,-247.9772545197052
81000,-247.63021522802367
82000,-239.28206567789564
83000,-238.7709175961021
84000,-236.59030064722236
85000,-237.75661337136302
86000,-233.78017431017074
87000,-232.6471790010499
88000,-237.40238853685364
89000,-237.78367308342203
90000,-227.91224662684573
91000,-235.37761962286248
92000,-232.68021509222302
93000,-233.67348520346343
94000,-234.75176326629227
95000,-235.36247290852828
96000,-237.81231417387838
97000,-234.4561042897736
98000,-230.16658852445013
99000,-227.10501938670785
100000,-220.27022034229958
101000,-226.42342849052358
102000,-220.22213629375022
103000,-222.63818697568132
104000,-229.16892120952437
105000,-219.60849754358782
106000,-229.30697244406755
107000,-223.72408662128063
108000,-221.2084026327858
109000,-226.12122432498515
110000,-217.47796301748946
111000,-220.33328805418864
112000,-225.5318655245041
113000,-220.65149215295705
114000,-217.02419412280264
115000,-218.48045708100054
116000,-224.26259791052078
117000,-221.08667801460902
118000,-227.27423832930398
119000,-226.22552219301008
120000,-211.4731774820984
121000,-219.4692135400056
122000,-214.11473971547838
123000,-219.6601818738495
124000,-215.55611050315238
125000,-214.2290724013862
126000,-218.42935423820387
127000,-222.47810352602662
128000,-213.48004683182734
129000,-219.0928861786922
130000,-219.04827501021632
131000,-213.1729007626439
132000,-216.2966997145526
133000,-215.57704630707772
134000,-213.2416374403906
135000,-210.19959070154792
136000,-208.4509776398772
137000,-216.54198945752336
138000,-211.10640195698252
139000,-216.48612946410415
140000,-213.32091080769584
141000,-213.4777388659533
142000,-208.41868031986044
143000,-214.1808530912907
144000,-213.05398230906673
145000,-208.47046557700293
146000,-217.2580899103802
147000,-218.73122720785
148000,-211.26569597859282
149000,-209.26979985771857
150000,-204.76935400144492
151000,-204.14918811649954
152000,-209.9134935390825
153000,-211.84563823767118
154000,-207.61979266624
155000,-204.6242136739072
156000,-208.11910980629472
157000,-205.81262646304748
158000,-209.85917108414796
159000,-198.40133111933469
160000,-203.5668726157071
161000,-203.65862381010592
162000,-199.2549408247297
163000,-205.50846641247574
164000,-195.905997062483
165000,-203.75347167895995
166000,-199.02108584218348
167000,-203.29002587904495
168000,-203.9043211723813
169000,-203.88457296764335
170000,-200.84332781467924
171000,-203.010295048235
172000,-201.69247932817788
173000,-199.1387871990313
174000,-201.79205807565614
175000,-204.78497584240776
176000,-195.41993393185595
177000,-201.61590126911992
178000,-198.77729904438056
179000,-205.62315642703453
180000,-204.19268203914078
181000,-197.39154419245278
182000,-196.54704751005147
183000,-197.1942295661012
184000,-198.7601662314791
185000,-198.25416008819565
186000,-202.46095828534447
187000,-195.1165122823963
188000,-196.37214423021229
189000,-204.17374080739617
190000,-198.12951516802522
191000,-198.50777984910513
192000,-198.38254050802195
193000,-193.81028767646816
194000,-201.12493674782613
195000,-199.12502586198522
196000,-195.30711195591095
197000,-188.5936194430333
198000,-194.921392103147
199000,-194.07208249349938
200000,-193.2694886710643
201000,-185.47355593592604
202000,-187.76376519147345
203000,-187.1874985149586
