step,reward
1000,-1454.0
2000,-1399.0
3000,-1460.0
4000,-1535.0
5000,-1580.0
6000,-1483.0
7000,-1414.0
8000,-1452.0
9000,-1423.0
10000,-1400.0
11000,-1398.0
12000,-1651.0
13000,-1449.0
14000,-1613.0
15000,-1434.0
16000,-1241.0
17000,-1400.0
18000,-1479.0
19000,-1354.0
20000,-1407.0
21000,-1385.0
22000,-1436.0
23000,-1507.0
24000,-1381.0
25000,-1376.0
26000,-1355.0
27000,-1345.0
28000,-1360.0
29000,-1329.0
30000,-1345.0
31000,-1469.0
32000,-1325.0
33000,-1328.0
34000,-1334.0
35000,-1356.0
36000,-1177.0
37000,-1295.0
38000,-1341.0
39000,-1303.0
40000,-1224.0
41000,-1384.0
42000,-1304.0
43000,-1399.0
44000,-1306.0
45000,-1395.0
46000,-1367.0
47000,-1251.0
48000,-1302.0
49000,-1313.0
50000,-1189.0
51000,-1264.0
52000,-1317.0
53000,-1281.0
54000,-1303.0
55000,-1368.0
56000,-1263.0
57000,-1244.0
58000,-1275.0
59000,-1268.0
60000,-1263.0
61000,-1308.0
62000,-1280.0
63000,-1156.0
64000,-1270.0
65000,-1367.0
66000,-1283.0
67000,-1404.0
68000,-1263.0
69000,-1286.0
70000,-1412.0
71000,-1260.0
72000,-1297.0
73000,-1273.0
74000,-1248.0
75000,-1356.0
76000,-1242.0
77000,-1175.0
78000,-1232.0
79000,-1247.0
80000,-1180.0
81000,-1253.0
82000,-1176.0
83000,-1290.0
84000,-1163.0
85000,-1249.0
86000,-1265.0
87000,-1307.0
88000,-1197.0
89000,-1194.0
90000,-1157.0
91000,-1333.0
92000,-1244.0
93000,-1267.0
94000,-1188.0
95000,-1270.0
96000,-1151.0
97000,-1211.0
98000,-1267.0
99000,-1102.0
100000,-1254.0
101000,-1211.0
102000,-1233.0
103000,-1291.0
104000,-1245.0
105000,-1190.0
106000,-1140.0
107000,-1290.0
108000,-1229.0
109000,-1182.0
110000,-1163.0
111000,-1258.0
112000,-1250.0
113000,-1183.0
114000,-1150.0
115000,-1313.0
116000,-1242.0
117000,-1262.0
118000,-1110.0
119000,-1230.0
120000,-1137.0
121000,-1162.0
122000,-1200.0
123000,-1264.0
124000,-1113.0
125000,-1148.0
126000,-1144.0
127000,-1096.0
128000,-1126.0
129000,-1234.0
130000,-1104.0
131000,-1179.0
132000,-1202.0
133000,-1286.0
134000,-1146.0
135000,-1183.0
136000,-1070.0
137000,-1049.0
138000,-1263.0
139000,-1022.0
140000,-1113.0
141000,-1193.0
142000,-1208.0
143000,-1047.0
144000,-1106.0
145000,-1117.0
146000,-1078.0
147000,-1088.0
148000,-1079.0
149000,-1065.0
150000,-1083.0
151000,-1115.0
152000,-1119.0
153000,-1090.0
154000,-1217.0
155000,-1110.0
156000,-1262.0
157000,-1270.0
158000,-1232.0
159000,-1107.0
160000,-1062.0
161000,-1050.0
162000,-1032.0
163000,-1106.0
164000,-978.0
165000,-1034.0
166000,-1012.0
167000,-1157.0
168000,-1288.0
169000,-1022.0
170000,-1078.0
171000,-1167.0
172000,-1109.0
173000,-1128.0
174000,-979.0
175000,-1118.0
176000,-1054.0
177000,-1073.0
178000,-1104.0
179000,-1072.0
180000,-1042.0
181000,-1053.0
182000,-1066.0
183000,-1059.0
184000,-918.0
185000,-1092.0
186000,-1197.0
187000,-1135.0
188000,-1113.0
189000,-1120.0
190000,-1059.0
191000,-1167.0
192000,-973.0
193000,-1107.0
194000,-1237.0
195000,-1015.0
196000,-1128.0
197000,-1099.0
198000,-1101.0
199000,-1136.0
200000,-1116.0
201000,-953.0
202000,-995.0
203000,-1079.0
204000,-1094.0
205000,-1025.0
206000,-1114.0
207000,-1018.0
208000,-1085.0
209000,-949.0
210000,-1150.0
211000,-1156.0
212000,-1115.0
213000,-1009.0
214000,-1167.0
215000,-1027.0
216000,-1140.0
217000,-998.0
218000,-1027.0
219000,-924.0
220000,-1061.0
221000,-980.0
222000,-1073.0
223000,-1019.0
224000,-1017.0
225000,-1068.0
226000,-1022.0
227000,-997.0
228000,-1042.0
229000,-1005.0
230000,-1023.0
231000,-1084.0
232000,-1155.0
233000,-1134.0
234000,-939.0
235000,-924.0
236000,-980.0
237000,-1076.0
238000,-1014.0
239000,-1024.0
240000,-1018.0
241000,-998.0
242000,-1139.0
243000,-1043.0
244000,-942.0
245000,-1059.0
246000,-972.0
247000,-1000.0
248000,-956.0
249000,-877.0
250000,-994.0
251000,-993.0
252000,-973.0
253000,-933.0
254000,-902.0
255000,-1006.0
256000,-1012.0
257000,-966.0
258000,-1030.0
259000,-1028.0
260000,-919.0
261000,-978.0
262000,-857.0
263000,-1036.0
264000,-918.0
265000,-825.0
266000,-984.0
267000,-929.0
268000,-1003.0
269000,-946.0
270000,-1020.0
271000,-795.0
272000,-916.0
273000,-907.0
274000,-971.0
275000,-912.0
276000,-945.0
277000,-764.0
278000,-859.0
279000,-893.0
280000,-841.0
281000,-934.0
282000,-933.0
283000,-973.0
284000,-1000.0
285000,-946.0
286000,-893.0
287000,-1110.0
288000,-1057.0
289000,-1041.0
290000,-885.0
291000,-954.0
292000,-926.0
293000,-876.0
294000,-986.0
295000,-940.0
296000,-833.0
297000,-877.0
298000,-990.0
299000,-908.0
300000,-894.0
301000,-933.0
302000,-855.0
303000,-844.0
304000,-751.0
305000,-889.0
306000,-881.0
307000,-808.0
308000,-860.0
309000,-825.0
310000,-895.0
311000,-905.0
312000,-968.0
313000,-953.0
314000,-927.0
315000,-811.0
316000,-899.0
317000,-857.0
318000,-770.0
319000,-808.0
320000,-886.0
321000,-752.0
322000,-835.0
323000,-816.0
324000,-842.0
325000,-942.0
326000,-808.0
327000,-769.0
328000,-977.0
329000,-825.0
330000,-984.0
331000,-972.0
332000,-890.0
333000,-790.0
334000,-933.0
335000,-867.0
336000,-838.0
337000,-845.0
338000,-783.0
339000,-825.0
340000,-889.0
341000,-995.0
342000,-861.0
343000,-882.0
344000,-901.0
345000,-872.0
346000,-915.0
347000,-865.0
348000,-888.0
349000,-850.0
350000,-902.0
351000,-847.0
352000,-978.0
353000,-847.0
354000,-880.0
355000,-829.0
356000,-768.0
357000,-844.0
358000,-913.0
359000,-805.0
360000,-1050.0
361000,-852.0
362000,-874.0
363000,-875.0
364000,-850.0
365000,-830.0
366000,-859.0
367000,-724.0
368000,-875.0
369000,-830.0
370000,-824.0
371000,-779.0
372000,-886.0
373000,-733.0
374000,-806.0
375000,-864.0
376000,-864.0
377000,-813.0
378000,-1012.0
379000,-797.0
380000,-859.0
381000,-813.0
382000,-982.0
383000,-849.0
384000,-863.0
385000,-847.0
386000,-792.0
387000,-842.0
388000,-838.0
389000,-671.0
390000,-801.0
391000,-755.0
392000,-861.0
393000,-818.0
394000,-905.0
395000,-854.0
396000,-890.0
397000,-879.0
398000,-789.0
399000,-710.0
400000,-833.0
401000,-776.0
402000,-928.0
403000,-823.0
404000,-810.0
405000,-853.0
406000,-928.0
407000,-785.0
408000,-855.0
